Quote,
English,Urdu
A man's word and his intestinal fortitude are two of the most honorable virtues known to mankind. -Jim Nantz,???: ??? ????? ?? ?? ?????? ??? ???? ??? ?? ???? ???? ?? ???? ????? ???? ?? ??? ?????
"Don't be satisfied with stories, how things have gone with others. Unfold your own myth. - Rumi",???: ?? ??? ????? ?? ??? ?? ??? ?? ??? ?? ?? ?? ??? ??? ??? ??? ????? ??? ?????? ????
There is no victory at bargain basement prices. -Dwight D. eisenhower,???: ????? ?? ?? ????? ?????? ????? ??????? ?? ??? ????? ???? ???? ????? ???? ???? ????
"He who fights against the truth, the truth will defeat him. - Hazrat Ali R.A",???: ?? ??? ???? ??? ????? ??? ????? ???? ??? ??? ???? ?? ?? ??? ??? ?? ??? ? ???? ?? ??????? ??? ?? ???? ??? ???? ???? ?? ?? ?? ?? ??? ??? ???? ???? ?? ???? ???????
empty pockets never held anyone back. Only empty heads and empty hearts can do that. - Norman Vincent Peale,"???: ??? ?? ??? ?? ???? ??? ???? ????? ???? ????? ?? ????? ?? ???? ? ?????"
The difference between the impossible and the possible lies in a man's determination. -Tommy Lasorda,???: ??? ????? ?? ?? ??? ????? ?? ? ??? ????? ???? ?? ????? ????? ????
Virtue is the only true nobility. -Thomas Fuller,???: ?? ????? ! ???? ?????? ?? ???? ???? ??? ???? ??? ?? ??? ?? ?????? ?? ???? ????? ??? ???? ????? ??? ??? ???? ???
"In the last analysis, our only freedom is the freedom to discipline ourselves. -Bernard Baruch",???: ???? ? ?? ???? ?????? ??? ??? ?? ??? ?? ?? ????? ?????? ??? ??? ??? ???? ???? ??? ???? ???
"""My Mama always said, 'Life is like a box of chocolates; you never know what you're going to get.'"" - Forest Gump 1994",???: ???? ?????? ?? ??? ?????? ??? ???? ???? ??????? ?? ??? ????? ??? ?????
"""Always treat a famous person as if they're not, and a person who's not as if they were."" - Adam Lawrence ~ Perfect 1985",???: ?? ?????? ?? ?????? ?? ????? ?? ?????? ????? ????? ???? ???? ?? ?????? ?????? ?? ?????? ???? ???? ??? ??? ???? ??? ???? ??? ??? ???? ????? ???
"""Nothing great was ever achieved without enthusiasm."" - Ralph Waldo Emerson",???: ????? ??????? ??? ??? ?? ?????? ?? ??? ?? ?? ?? ??? ???? ?????? ?????? ?????? ????? ??????? ?????? ??? ?????
"""A positive attitude may not solve all your problems but it will annoy enough people to make it worth the effort. "" - Herm Albright","???: ?? ?????? ?? ????? ????? ?? ????? ??? ??? ?? ?????? ????????? ?? ?? ???? ??? ??? ?? ?? ?? ??? ?????? ? ???? ???? ?????"
Not everything that is faced can be changed but nothing can be changed until it is faced. ~ James Baldwin,"???: ????? ?? ??? ??? ???? ??? ?? ?? ?????? ??? ????? ???? ??? ?? ?? ??? ????? ???? ?? ?? ???? ???? ?? ??? ???? ???? ??????? ?? ?????? ?? ???? ??? ???? ???? ????"
Obstacles are those frightful things you see when you take your eyes off your goal. ~ Henry Ford,???:? ???? ?? ?? ?? ??? ???? ??? ?? ?? ??? ??? ???? ??? ????
"One of the greatest discoveries a man makes, one of his great surprises, is to find he can do what he was afraid he couldn't do. ~ Henry Ford"," ???: ??? ????? ????? ?? ???? ?????? ???? ???? ??? ??? ????? ???? ?????"
Pleasure in the job puts perfection in the work. ~ Aristotle,???: ?? ??? ?? ?????? ?? ??? ?? ????? ?? ?? ???? ?????? ???? ????? ?? ????? ???? ???? ???? ?????? ??????
The greatest inspiration is often born of desperation. ~ Comer Cottrell,???: ?? ?? ????? ??? ??? ???? ??? ??? ??? ?? ??? ???? ???? ?? ???? ???? ??? ?????
The greatest mistake you can make in life is to be continually fearing that you will make one. ~ Ellen Hubbard,"???: ???? ?? ????? ?? ?????? ?? ???? ??? ???? ?? ??? ??? ?? ?? ????? ?? ????? ?? ??? ?? ????? ?????? ??? ???"
Things turn out best for the people who make the best out of the way things turn out. ~ Art Link letter,???: ????? ??? ???? ?????? ?? ?????? ??? ?? ???? ???? ?? ?? ?? ??? ??? ??? ????? ???? ????? ????? ?????
"Wherever you go, go with all your heart. ~ Confucius",???: ?? ????? ???? ????? ??? ?? ?? ????? ?? ????? ??? ??? ?? ?????? ??? ???? ???? ??? ???
When you do not know what you are doing and what you are doing is the best -- that is inspiration. ~ Robert Bresson.,???: ???? ??????? ??? ????? ????? ????? ??? ???? ??? ???? ????
"When you make a mistake, don't look back at it long. Take the reason of the thing into your mind, and then look forward. Mistakes are lessons of wisdom. The past cannot be changed. The future is yet in your power. ~ Phyllis Bottome ",???: ????? ?? ????? ???? ?? ??? ??? ????? ???? ???? ???????
"No one is in control of your happiness but you; therefore, you have the power to change anything about yourself or your life that you want to change. ~ Barbara De Angelis",???: ?? ?? ??????? ?? ??? ??? ??? ?? ?? ??? ????? ???? ???? ????????? ??????
We take greater pains to persuade others we are happy than in trying to think so ourselves. ~ Confucius,"???: ?? ??? ???? ???? ????? ???? ?? ????? ???? ???? ??? ???? ??? ??????"
Remember that very little is needed to make a happy life. ~ Marcus Aurelius,???: ????? ?? ??? ???? ?? ??? ????? ??? ???? ??????
"A happy person is not a person in a certain set of circumstances, but rather a person with a certain set of attitudes. ~ Hugh Downs",???: ??????? ??????? ?? ???? ???? ???? ???? ??? ????? ???? ?? ???? ???? ?????? ?? ???? ???? ????? ?????
Now and then it's good to pause in our pursuit of happiness and just be happy. ~ Guillaume Apollinaire,???: ??? ??? ???? ???? ?? ?? ?? ????? ????????? ????  ???? ????
Knowledge of what is possible is the beginning of happiness. ~ George Santayana,???: ???? ?? ?????? ??????????? ????? ?? ????? ??? ????? ??????
"""You can avoid reality, but you cannot avoid the consequences of avoiding reality."" - Ayn Rand (1905-1982)",???: ??? ????? ???? ?? ???? ?? ??????? ?? ???? ?? ???? ???? ?? ???? ?? ??? ?? ???? ??? ??? ??? ?????? ??????
"""Problems worthy of attack prove their worth by fighting back."" - Paul erdos (1913-1996)",???: ???? ??? ???? ???? ????? ??? ???? ?? ???? ???? ????? ???? ?? ?? ???? ??? ??? ?????
"I don't know why we are here, but I'm pretty sure that it is not in order to enjoy ourselves."" - Ludwig Wittgenstein (1889-1951)",???: ??????? ??????? ?? ???? ???? ???? ???? ??? ????? ???? ?? ???? ???? ?????? ?? ???? ???? ????? ?????
